image_size-256-QF-65-0.7-payload: 0.1  ave_error_rate: 1.501e-05
image_size-256-QF-70-0.7-payload: 0.1  ave_error_rate: 0.0077207
image_size-256-QF-75-0.7-payload: 0.1  ave_error_rate: 0.0055878
image_size-256-QF-80-0.7-payload: 0.1  ave_error_rate: 0.0070082
image_size-256-QF-85-0.7-payload: 0.1  ave_error_rate: 0.00063268
image_size-256-QF-90-0.7-payload: 0.1  ave_error_rate: 0.000177
image_size-256-QF-95-0.7-payload: 0.1  ave_error_rate: 2.3492e-05
image_size-256-QF-65-0.7-payload: 0.08  ave_error_rate: 1.9332e-05
image_size-256-QF-70-0.7-payload: 0.08  ave_error_rate: 0.0097781
image_size-256-QF-75-0.7-payload: 0.08  ave_error_rate: 0.0070335
image_size-256-QF-80-0.7-payload: 0.08  ave_error_rate: 0.0088113
image_size-256-QF-85-0.7-payload: 0.08  ave_error_rate: 0.00077636
image_size-256-QF-90-0.7-payload: 0.08  ave_error_rate: 0.0002009
image_size-256-QF-95-0.7-payload: 0.08  ave_error_rate: 2.7621e-05
image_size-256-QF-65-0.7-payload: 0.06  ave_error_rate: 1.8879e-05
image_size-256-QF-70-0.7-payload: 0.06  ave_error_rate: 0.01276
image_size-256-QF-75-0.7-payload: 0.06  ave_error_rate: 0.0091498
image_size-256-QF-80-0.7-payload: 0.06  ave_error_rate: 0.011553
image_size-256-QF-85-0.7-payload: 0.06  ave_error_rate: 0.0010416
image_size-256-QF-90-0.7-payload: 0.06  ave_error_rate: 0.00026211
image_size-256-QF-95-0.7-payload: 0.06  ave_error_rate: 3.1659e-05
image_size-256-QF-65-0.7-payload: 0.04  ave_error_rate: 3.7321e-05
image_size-256-QF-70-0.7-payload: 0.04  ave_error_rate: 0.01832
image_size-256-QF-75-0.7-payload: 0.04  ave_error_rate: 0.013376
image_size-256-QF-80-0.7-payload: 0.04  ave_error_rate: 0.016769
image_size-256-QF-85-0.7-payload: 0.04  ave_error_rate: 0.0015807
image_size-256-QF-90-0.7-payload: 0.04  ave_error_rate: 0.00040027
image_size-256-QF-95-0.7-payload: 0.04  ave_error_rate: 5.2951e-05
image_size-256-QF-65-0.7-payload: 0.02  ave_error_rate: 3.009e-05
image_size-256-QF-70-0.7-payload: 0.02  ave_error_rate: 0.031125
image_size-256-QF-75-0.7-payload: 0.02  ave_error_rate: 0.023243
image_size-256-QF-80-0.7-payload: 0.02  ave_error_rate: 0.028787
image_size-256-QF-85-0.7-payload: 0.02  ave_error_rate: 0.0028639
image_size-256-QF-90-0.7-payload: 0.02  ave_error_rate: 0.00066694
image_size-256-QF-95-0.7-payload: 0.02  ave_error_rate: 5.2368e-05
image_size-256-QF-75-0.7-payload: 0.1  ave_error_rate: 3.7875e-05
image_size-256-QF-80-0.7-payload: 0.1  ave_error_rate: 0.011445
image_size-256-QF-85-0.7-payload: 0.1  ave_error_rate: 0.0075486
image_size-256-QF-90-0.7-payload: 0.1  ave_error_rate: 0.00047662
image_size-256-QF-95-0.7-payload: 0.1  ave_error_rate: 0.00011368
image_size-256-QF-75-0.7-payload: 0.08  ave_error_rate: 3.181e-05
image_size-256-QF-80-0.7-payload: 0.08  ave_error_rate: 0.014309
image_size-256-QF-85-0.7-payload: 0.08  ave_error_rate: 0.0094793
image_size-256-QF-90-0.7-payload: 0.08  ave_error_rate: 0.00056814
image_size-256-QF-95-0.7-payload: 0.08  ave_error_rate: 0.0001281
image_size-256-QF-75-0.7-payload: 0.06  ave_error_rate: 2.9609e-05
image_size-256-QF-80-0.7-payload: 0.06  ave_error_rate: 0.018675
image_size-256-QF-85-0.7-payload: 0.06  ave_error_rate: 0.012595
image_size-256-QF-90-0.7-payload: 0.06  ave_error_rate: 0.00078345
image_size-256-QF-95-0.7-payload: 0.06  ave_error_rate: 0.00012683
image_size-256-QF-75-0.7-payload: 0.04  ave_error_rate: 6.1757e-05
image_size-256-QF-80-0.7-payload: 0.04  ave_error_rate: 0.026839
image_size-256-QF-85-0.7-payload: 0.04  ave_error_rate: 0.01853
image_size-256-QF-90-0.7-payload: 0.04  ave_error_rate: 0.0011879
image_size-256-QF-95-0.7-payload: 0.04  ave_error_rate: 0.00018714
image_size-256-QF-75-0.7-payload: 0.02  ave_error_rate: 3.6995e-05
image_size-256-QF-80-0.7-payload: 0.02  ave_error_rate: 0.045236
image_size-256-QF-85-0.7-payload: 0.02  ave_error_rate: 0.031565
image_size-256-QF-90-0.7-payload: 0.02  ave_error_rate: 0.0021602
image_size-256-QF-95-0.7-payload: 0.02  ave_error_rate: 0.00027638
