image_size-256-QF-65-payload: 0.05  ave_error_rate: 8.0071e-05
image_size-256-QF-65-payload: 0.1  ave_error_rate: 4.6158e-05
image_size-256-QF-65-payload: 0.15  ave_error_rate: 2.9086e-05
image_size-256-QF-75-payload: 0.05  ave_error_rate: 0.0001203
image_size-256-QF-75-payload: 0.1  ave_error_rate: 6.3846e-05
image_size-256-QF-75-payload: 0.15  ave_error_rate: 4.433e-05
image_size-256-QF-65-payload: 0.01  ave_error_rate: 0.00044488
image_size-256-QF-65-payload: 0.02  ave_error_rate: 0.00022349
image_size-256-QF-65-payload: 0.03  ave_error_rate: 0.00017458
image_size-256-QF-65-payload: 0.04  ave_error_rate: 0.00016169
image_size-256-QF-65-payload: 0.06  ave_error_rate: 6.7505e-05
image_size-256-QF-65-payload: 0.07  ave_error_rate: 5.8988e-05
image_size-256-QF-65-payload: 0.08  ave_error_rate: 4.8862e-05
image_size-256-QF-65-payload: 0.09  ave_error_rate: 4.4866e-05
image_size-256-QF-75-payload: 0.01  ave_error_rate: 0.00051201
image_size-256-QF-75-payload: 0.02  ave_error_rate: 0.00029848
image_size-256-QF-75-payload: 0.03  ave_error_rate: 0.00021568
image_size-256-QF-75-payload: 0.04  ave_error_rate: 0.0001782
image_size-256-QF-75-payload: 0.06  ave_error_rate: 0.00010414
image_size-256-QF-75-payload: 0.07  ave_error_rate: 7.7336e-05
image_size-256-QF-75-payload: 0.08  ave_error_rate: 7.6411e-05
image_size-256-QF-75-payload: 0.09  ave_error_rate: 7.8682e-05
image_size-256-QF-65-payload: 0.1  ave_error_rate: 0.0003727
image_size-256-QF-70-payload: 0.1  ave_error_rate: 0.056833
image_size-256-QF-75-payload: 0.1  ave_error_rate: 0.036065
image_size-256-QF-80-payload: 0.1  ave_error_rate: 0.044098
image_size-256-QF-85-payload: 0.1  ave_error_rate: 0.016763
image_size-256-QF-90-payload: 0.1  ave_error_rate: 0.0067612
image_size-256-QF-95-payload: 0.1  ave_error_rate: 0.0024137
image_size-256-QF-65-payload: 0.1  ave_error_rate: 0.0003727
image_size-256-QF-70-payload: 0.1  ave_error_rate: 0.056741
image_size-256-QF-75-payload: 0.1  ave_error_rate: 0.036196
image_size-256-QF-80-payload: 0.1  ave_error_rate: 0.043955
image_size-256-QF-85-payload: 0.1  ave_error_rate: 0.01692
image_size-256-QF-90-payload: 0.1  ave_error_rate: 0.0067612
image_size-256-QF-95-payload: 0.1  ave_error_rate: 0.0024137
image_size-256-QF-75-payload: 0.1  ave_error_rate: 0
image_size-256-QF-80-payload: 0.1  ave_error_rate: 0
image_size-256-QF-85-payload: 0.1  ave_error_rate: 0
image_size-256-QF-90-payload: 0.1  ave_error_rate: 0
image_size-256-QF-95-payload: 0.1  ave_error_rate: 0
